ID_NO,INTERNAL_SCORE,ID_DECISION,CHANNEL,STORE,APPLICATION_TYPE,CONSULTATION_ID,FLAG_HIT,FICO_SCORE,DATE_OF_BIRTH,RESIDENCE,MARITAL_STATUS,SEX_FLAG,DEPENDENDENTS_NO,UNDERWRITERïS_NAME_CREDIT,ACCOUNT_TYPE_CREDIT,RESPONSIBILITY_TYPE_CREDIT,CREDIT_TYPE,Source,IMPUGNATED_REGISTRY,UNDERWRITERïS_NAME_CONSULTATION,ACCOUNT_TYPE_CONSULTATION,RESPONSIBILITY_TYPE_CONSULTATION,AMOUNT_APPLIED_FOR,Paid/Not Paid
0101169F0001E97B,123,INVESTIGACIàN,1,5791,2.0171E+25,333507747,0,0,27/03/1972,,,,0,UNERFORSCHT,UNERFORSCHT,UNERFORSCHT,UNERFORSCHT,UNERFORSCHT,UNERFORSCHT,BANCO AZTECA,Pagos Fijos,UNERFORSCHT,0,0
0101169F0000D18C,107,INMEDIATO,1,5791,2.01711E+25,339993884,1,647,28/07/1971,5,D,F,0,TIENDA COMERCIAL,Aparatos/Muebles,UNERFORSCHT,Pagos Fijos,C¡culo de Cr‚dito,NO,UNERFORSCHT,UNERFORSCHT,UNERFORSCHT,,0
0101105400000CF9,136,INMEDIATO,1,5791,2.01711E+25,342804706,1,648,05/03/1982,5,,,0,COOPERATIVA/CAJA,Pr‚stamo Personal,UNERFORSCHT,Pagos Fijos,C¡culo de Cr‚dito,NO,UNERFORSCHT,UNERFORSCHT,UNERFORSCHT,,0
01011B4200010F39,96,INVESTIGACIàN,1,5791,2.01712E+25,349610668,1,683,23/10/1989,5,S,,0,BANCO AZTECA,Pr‚stamo Personal,Individual,Cr‚dito Prendario,Banco Azteca,NO,BANCO AZTECA,Pagos Fijos,UNERFORSCHT,0,0
010116AE0000C8B6,178,INMEDIATO,1,5806,2.0171E+24,331879472,1,683,07/04/1965,5,C,F,0,SERVICIOS,L¡nea de Cr‚dito,UNERFORSCHT,Sin L¡mite Preestablecido,C¡culo de Cr‚dito,NO,UNERFORSCHT,UNERFORSCHT,UNERFORSCHT,,1
010116AE000014E4,195,INMEDIATO,1,5806,2.01711E+25,334692306,1,668,28/05/1977,5,,,4,COOPERATIVA/CAJA,Pr‚stamo Personal,UNERFORSCHT,Pagos Fijos,C¡culo de Cr‚dito,NO,UNERFORSCHT,UNERFORSCHT,UNERFORSCHT,,1
010116AE000064A3,159,INVESTIGACIàN,1,5806,2.01711E+25,342529139,0,0,02/05/1968,,,,0,UNERFORSCHT,UNERFORSCHT,UNERFORSCHT,UNERFORSCHT,UNERFORSCHT,UNERFORSCHT,BANCO AZTECA,Pagos Fijos,UNERFORSCHT,0,0
010116AE0000CA2C,161,INVESTIGACIàN,1,5806,2.01711E+24,342791578,0,549,21/10/1999,,,,0,UNERFORSCHT,UNERFORSCHT,UNERFORSCHT,UNERFORSCHT,UNERFORSCHT,UNERFORSCHT,BANCO AZTECA,Pagos Fijos,UNERFORSCHT,0,1
010116AE0000B1AA,153,INVESTIGACIàN,1,5806,2.01712E+25,348843751,1,552,29/11/1969,3,S,F,0,FINANCIERA,Pr‚stamo Personal,Individual,Pagos Fijos,C¡culo de Cr‚dito,NO,BANCO AZTECA,Pagos Fijos,UNERFORSCHT,0,0
010116AE0000C789,176,INVESTIGACIàN,1,5806,2.01712E+25,352643442,0,0,01/02/1999,,,,0,UNERFORSCHT,UNERFORSCHT,UNERFORSCHT,UNERFORSCHT,UNERFORSCHT,UNERFORSCHT,BANCO AZTECA,Pagos Fijos,UNERFORSCHT,0,1
0101133000013DF2,152,INVESTIGACIàN,1,5808,2.0171E+25,329876686,0,556,29/07/1996,,,,0,UNERFORSCHT,UNERFORSCHT,UNERFORSCHT,UNERFORSCHT,UNERFORSCHT,UNERFORSCHT,BANCO AZTECA,Pagos Fijos,UNERFORSCHT,0,1
010116B00000C1A0,146,INMEDIATO,1,5808,2.01711E+25,338088732,1,646,25/10/1996,5,,,0,FINANCIERA,Pr‚stamo Personal,UNERFORSCHT,Pagos Fijos,C¡culo de Cr‚dito,NO,UNERFORSCHT,UNERFORSCHT,UNERFORSCHT,,0
010116B00000BEE7,161,INVESTIGACIàN,1,5808,2.01711E+24,342076493,0,0,08/05/1999,5,,,0,UNERFORSCHT,UNERFORSCHT,UNERFORSCHT,UNERFORSCHT,UNERFORSCHT,UNERFORSCHT,BANCO AZTECA,Pagos Fijos,UNERFORSCHT,0,1
